absolute_rms_error,concept,direction,field,normalized_l2_error,shell
2.0608850023128289e-16,spherical_scale_proxy,theta,radial_log,,inner
1.3399179132060934e-16,spherical_scale_proxy,theta,radial_log,,middle
4.816372630587188e-17,spherical_scale_proxy,theta,radial_log,,outer
0.8294427917037388,index_space_upstream_assumption,r,radial_log,1.7153116729220361,inner
0.038069345327236236,index_space_upstream_assumption,r,radial_log,0.4340857244003627,middle
0.5424219990302936,index_space_upstream_assumption,r,radial_log,34.81585473533748,outer
0.0012575592710118927,stored_coordinate_aware,r,radial_log,0.002600668929230387,inner
0.00019312401082176368,stored_coordinate_aware,r,radial_log,0.0022020966059716285,middle
3.461360996891461e-05,stored_coordinate_aware,r,radial_log,0.0022217063811898526,outer
0.0012575592710118927,spherical_scale_proxy,r,radial_log,0.002600668929230387,inner
0.00019312401082176368,spherical_scale_proxy,r,radial_log,0.0022020966059716285,middle
3.461360996891461e-05,spherical_scale_proxy,r,radial_log,0.0022217063811898526,outer
0.0,index_space_upstream_assumption,phi,theta_cosine,,inner
0.0,index_space_upstream_assumption,phi,theta_cosine,,middle
0.0,index_space_upstream_assumption,phi,theta_cosine,,outer
0.0,stored_coordinate_aware,phi,theta_cosine,,inner
0.0,stored_coordinate_aware,phi,theta_cosine,,middle
0.0,stored_coordinate_aware,phi,theta_cosine,,outer
0.0,spherical_scale_proxy,phi,theta_cosine,,inner
0.0,spherical_scale_proxy,phi,theta_cosine,,middle
0.0,spherical_scale_proxy,phi,theta_cosine,,outer
0.6962940705919463,index_space_upstream_assumption,theta,theta_cosine,0.9847085317376086,inner
0.6962940705919463,index_space_upstream_assumption,theta,theta_cosine,0.9847085317376086,middle
0.6962940705919463,index_space_upstream_assumption,theta,theta_cosine,0.9847085317376086,outer
0.0002840645844173576,stored_coordinate_aware,theta,theta_cosine,0.0004017279934646993,inner
0.0002840645844173576,stored_coordinate_aware,theta,theta_cosine,0.0004017279934646993,middle
0.0002840645844173576,stored_coordinate_aware,theta,theta_cosine,0.00040172799346469934,outer
0.0001373600644376913,spherical_scale_proxy,theta,theta_cosine,0.00040172799346469815,inner
2.491248191670111e-05,spherical_scale_proxy,theta,theta_cosine,0.0004017279934646956,middle
4.42565264890599e-06,spherical_scale_proxy,theta,theta_cosine,0.00040172799346469836,outer
0.0,index_space_upstream_assumption,r,theta_cosine,,inner
0.0,index_space_upstream_assumption,r,theta_cosine,,middle
0.0,index_space_upstream_assumption,r,theta_cosine,,outer
3.639522392871561e-16,stored_coordinate_aware,r,theta_cosine,,inner
4.6524312315018856e-17,stored_coordinate_aware,r,theta_cosine,,middle
8.680125060553928e-18,stored_coordinate_aware,r,theta_cosine,,outer
3.639522392871561e-16,spherical_scale_proxy,r,theta_cosine,,inner
4.6524312315018856e-17,spherical_scale_proxy,r,theta_cosine,,middle
8.680125060553928e-18,spherical_scale_proxy,r,theta_cosine,,outer
0.6377982074072376,index_space_upstream_assumption,phi,phi_sine,0.9019828624024003,inner
0.6377982074072376,index_space_upstream_assumption,phi,phi_sine,0.9019828624024003,middle
0.6377982074072376,index_space_upstream_assumption,phi,phi_sine,0.9019828624024003,outer
0.0011353749209469825,stored_coordinate_aware,phi,phi_sine,0.001605662589204758,inner
0.0011353749209469825,stored_coordinate_aware,phi,phi_sine,0.001605662589204758,middle
0.0011353749209469825,stored_coordinate_aware,phi,phi_sine,0.0016056625892047582,outer
0.004392111183939697,spherical_scale_proxy,phi,phi_sine,0.0016056625892047621,inner
0.0007965808031174367,spherical_scale_proxy,phi,phi_sine,0.0016056625892047602,middle
0.0001415109884744533,spherical_scale_proxy,phi,phi_sine,0.001605662589204759,outer
0.0,index_space_upstream_assumption,theta,phi_sine,,inner
0.0,index_space_upstream_assumption,theta,phi_sine,,middle
0.0,index_space_upstream_assumption,theta,phi_sine,,outer
5.359046282011037e-16,stored_coordinate_aware,theta,phi_sine,,inner
5.359046282011037e-16,stored_coordinate_aware,theta,phi_sine,,middle
5.359046282011037e-16,stored_coordinate_aware,theta,phi_sine,,outer
2.591378802575672e-16,spherical_scale_proxy,theta,phi_sine,,inner
4.699886959340632e-17,spherical_scale_proxy,theta,phi_sine,,middle
8.349255301303504e-18,spherical_scale_proxy,theta,phi_sine,,outer
0.0,index_space_upstream_assumption,r,phi_sine,,inner
0.0,index_space_upstream_assumption,r,phi_sine,,middle
0.0,index_space_upstream_assumption,r,phi_sine,,outer
3.919483934003419e-16,stored_coordinate_aware,r,phi_sine,,inner
4.603208483115697e-17,stored_coordinate_aware,r,phi_sine,,middle
8.120695820389567e-18,stored_coordinate_aware,r,phi_sine,,outer
3.919483934003419e-16,spherical_scale_proxy,r,phi_sine,,inner
4.603208483115697e-17,spherical_scale_proxy,r,phi_sine,,middle
8.120695820389567e-18,spherical_scale_proxy,r,phi_sine,,outer
0.21807790674379315,index_space_upstream_assumption,phi,mixed_spherical,0.9019828569384776,inner
0.03955197553544572,index_space_upstream_assumption,phi,mixed_spherical,0.9019828569384777,middle
0.007026329447350707,index_space_upstream_assumption,phi,mixed_spherical,0.9019828569384776,outer
0.0003881973957891965,stored_coordinate_aware,phi,mixed_spherical,0.0016056069197389346,inner
7.040591195336685e-05,stored_coordinate_aware,phi,mixed_spherical,0.0016056069197389357,middle
1.2507469620125191e-05,stored_coordinate_aware,phi,mixed_spherical,0.001605606919738934,outer
0.0003580724866871941,spherical_scale_proxy,phi,mixed_spherical,0.0016056069197389325,inner
1.1778336927297748e-05,spherical_scale_proxy,phi,mixed_spherical,0.0016056069197389333,middle
3.785825457070475e-07,spherical_scale_proxy,phi,mixed_spherical,0.0016056069197389316,outer
0.23028794148443454,index_space_upstream_assumption,theta,mixed_spherical,0.952484214967228,inner
0.041766463938052036,index_space_upstream_assumption,theta,mixed_spherical,0.9524842149672279,middle
0.007419728888551945,index_space_upstream_assumption,theta,mixed_spherical,0.9524842149672278,outer
0.0001057541140488846,stored_coordinate_aware,theta,mixed_spherical,0.0004374051183492599,inner
1.9180228726921547e-05,stored_coordinate_aware,theta,mixed_spherical,0.00043740511834925984,middle
3.4073293201275094e-06,stored_coordinate_aware,theta,mixed_spherical,0.00043740511834925767,outer
6.897641240178258e-05,spherical_scale_proxy,theta,mixed_spherical,0.00043740511834925946,inner
2.268890952278492e-06,spherical_scale_proxy,theta,mixed_spherical,0.00043740511834926044,middle
7.292731715413251e-08,spherical_scale_proxy,theta,mixed_spherical,0.00043740511834925724,outer
0.17239133487831135,index_space_upstream_assumption,r,mixed_spherical,1.0931976846632854,inner
0.0020810598008104324,index_space_upstream_assumption,r,mixed_spherical,0.40119435131595776,middle
0.04622886788397491,index_space_upstream_assumption,r,mixed_spherical,277.2725609544224,outer
0.0013168244341314128,stored_coordinate_aware,r,mixed_spherical,0.008350474364135873,inner
3.430187280686887e-05,stored_coordinate_aware,r,mixed_spherical,0.0066128410170217065,middle
1.1032216518530447e-06,stored_coordinate_aware,r,mixed_spherical,0.006616928051913181,outer
0.0013168244341314128,spherical_scale_proxy,r,mixed_spherical,0.008350474364135873,inner
3.430187280686887e-05,spherical_scale_proxy,r,mixed_spherical,0.0066128410170217065,middle
1.1032216518530447e-06,spherical_scale_proxy,r,mixed_spherical,0.006616928051913181,outer
0.0,index_space_upstream_assumption,phi,gaussian_inner,,inner
0.0,index_space_upstream_assumption,phi,gaussian_inner,,middle
0.0,index_space_upstream_assumption,phi,gaussian_inner,,outer
0.0,stored_coordinate_aware,phi,gaussian_inner,,inner
0.0,stored_coordinate_aware,phi,gaussian_inner,,middle
0.0,stored_coordinate_aware,phi,gaussian_inner,,outer
0.0,spherical_scale_proxy,phi,gaussian_inner,,inner
0.0,spherical_scale_proxy,phi,gaussian_inner,,middle
0.0,spherical_scale_proxy,phi,gaussian_inner,,outer
0.0,index_space_upstream_assumption,theta,gaussian_inner,,inner
0.0,index_space_upstream_assumption,theta,gaussian_inner,,middle
0.0,index_space_upstream_assumption,theta,gaussian_inner,,outer
4.9536123036044475e-16,stored_coordinate_aware,theta,gaussian_inner,,inner
2.7824067287762844e-19,stored_coordinate_aware,theta,gaussian_inner,,middle
4.895613899058955e-41,stored_coordinate_aware,theta,gaussian_inner,,outer
1.959839420933002e-16,spherical_scale_proxy,theta,gaussian_inner,,inner
4.379969339561865e-20,spherical_scale_proxy,theta,gaussian_inner,,middle
1.405606868693166e-42,spherical_scale_proxy,theta,gaussian_inner,,outer
0.49033478406954906,index_space_upstream_assumption,r,gaussian_inner,0.8173163341708307,inner
0.00041264717602455147,index_space_upstream_assumption,r,gaussian_inner,0.5043982568952566,middle
0.0004121084715545916,index_space_upstream_assumption,r,gaussian_inner,,outer
0.0,stored_coordinate_aware,r,gaussian_inner,0.0,inner
0.0,stored_coordinate_aware,r,gaussian_inner,0.0,middle
0.0,stored_coordinate_aware,r,gaussian_inner,,outer
0.0,spherical_scale_proxy,r,gaussian_inner,0.0,inner
0.0,spherical_scale_proxy,r,gaussian_inner,0.0,middle
0.0,spherical_scale_proxy,r,gaussian_inner,,outer
0.0,index_space_upstream_assumption,phi,gaussian_middle,,inner
0.0,index_space_upstream_assumption,phi,gaussian_middle,,middle
0.0,index_space_upstream_assumption,phi,gaussian_middle,,outer
0.0,stored_coordinate_aware,phi,gaussian_middle,,inner
0.0,stored_coordinate_aware,phi,gaussian_middle,,middle
0.0,stored_coordinate_aware,phi,gaussian_middle,,outer
0.0,spherical_scale_proxy,phi,gaussian_middle,,inner
0.0,spherical_scale_proxy,phi,gaussian_middle,,middle
0.0,spherical_scale_proxy,phi,gaussian_middle,,outer
0.0,index_space_upstream_assumption,theta,gaussian_middle,,inner
0.0,index_space_upstream_assumption,theta,gaussian_middle,,middle
0.0,index_space_upstream_assumption,theta,gaussian_middle,,outer
2.7824067287762844e-19,stored_coordinate_aware,theta,gaussian_middle,,inner
4.9536123036044475e-16,stored_coordinate_aware,theta,gaussian_middle,,middle
2.718434804434433e-19,stored_coordinate_aware,theta,gaussian_middle,,outer
4.809601647321117e-20,spherical_scale_proxy,theta,gaussian_middle,,inner
3.554487567656847e-17,spherical_scale_proxy,theta,gaussian_middle,,middle
7.761146618549698e-21,spherical_scale_proxy,theta,gaussian_middle,,outer
0.0004254908192960664,index_space_upstream_assumption,r,gaussian_middle,0.5120840975811894,inner
0.03267112172938605,index_space_upstream_assumption,r,gaussian_middle,0.30023191149322503,middle
0.0002514850628655421,index_space_upstream_assumption,r,gaussian_middle,1.7348106400285253,outer
0.0,stored_coordinate_aware,r,gaussian_middle,0.0,inner
0.0,stored_coordinate_aware,r,gaussian_middle,0.0,middle
0.0,stored_coordinate_aware,r,gaussian_middle,0.0,outer
0.0,spherical_scale_proxy,r,gaussian_middle,0.0,inner
0.0,spherical_scale_proxy,r,gaussian_middle,0.0,middle
0.0,spherical_scale_proxy,r,gaussian_middle,0.0,outer
0.0,index_space_upstream_assumption,phi,gaussian_outer,,inner
0.0,index_space_upstream_assumption,phi,gaussian_outer,,middle
0.0,index_space_upstream_assumption,phi,gaussian_outer,,outer
0.0,stored_coordinate_aware,phi,gaussian_outer,,inner
0.0,stored_coordinate_aware,phi,gaussian_outer,,middle
0.0,stored_coordinate_aware,phi,gaussian_outer,,outer
0.0,spherical_scale_proxy,phi,gaussian_outer,,inner
0.0,spherical_scale_proxy,phi,gaussian_outer,,middle
0.0,spherical_scale_proxy,phi,gaussian_outer,,outer
0.0,index_space_upstream_assumption,theta,gaussian_outer,,inner
0.0,index_space_upstream_assumption,theta,gaussian_outer,,middle
0.0,index_space_upstream_assumption,theta,gaussian_outer,,outer
8.860901517520265e-43,stored_coordinate_aware,theta,gaussian_outer,,inner
7.595190955271385e-20,stored_coordinate_aware,theta,gaussian_outer,,middle
4.839721641160243e-16,stored_coordinate_aware,theta,gaussian_outer,,outer
1.5217122809443187e-43,spherical_scale_proxy,theta,gaussian_outer,,inner
2.3675246695119853e-21,spherical_scale_proxy,theta,gaussian_outer,,middle
5.806645961757106e-18,spherical_scale_proxy,theta,gaussian_outer,,outer
0.0004218064683282944,index_space_upstream_assumption,r,gaussian_outer,,inner
8.03176787250793e-05,index_space_upstream_assumption,r,gaussian_outer,1.7075256394791256,middle
0.09581343295143963,index_space_upstream_assumption,r,gaussian_outer,5.389683027747984,outer
0.0,stored_coordinate_aware,r,gaussian_outer,,inner
0.0,stored_coordinate_aware,r,gaussian_outer,0.0,middle
0.0,stored_coordinate_aware,r,gaussian_outer,0.0,outer
0.0,spherical_scale_proxy,r,gaussian_outer,,inner
0.0,spherical_scale_proxy,r,gaussian_outer,0.0,middle
0.0,spherical_scale_proxy,r,gaussian_outer,0.0,outer
