absolute_rms_error,boundary_normalized_l2_error,concept,direction,expected_zero,field,maximum_absolute_error,normalized_l2_error
8.00085640962132e-05,0.0020065756347329706,spherical_scale_proxy,theta,False,theta_cosine,0.0003503961424042856,0.0004017279934646981
0.0,,index_space_upstream_assumption,r,True,theta_cosine,0.0,
2.1023789378985382e-16,,stored_coordinate_aware,r,True,theta_cosine,3.552713678800501e-15,
2.1023789378985382e-16,,spherical_scale_proxy,r,True,theta_cosine,3.552713678800501e-15,
0.6377982074072376,0.9019829443744103,index_space_upstream_assumption,phi,False,phi_sine,0.9008964740936063,0.9019828624024014
0.0011353749209469825,0.0016064975347950083,stored_coordinate_aware,phi,False,phi_sine,0.0016045624518252755,0.001605662589204759
0.0025582873058227038,0.0016064975347950192,spherical_scale_proxy,phi,False,phi_sine,0.05707103506021127,0.0016056625892047626
0.0,,index_space_upstream_assumption,theta,True,phi_sine,0.0,
5.359046282011037e-16,,stored_coordinate_aware,theta,True,phi_sine,7.105427357601002e-15,
1.509408850907268e-16,,spherical_scale_proxy,theta,True,phi_sine,6.202176095632598e-15,
0.0,,index_space_upstream_assumption,r,True,phi_sine,0.0,
2.2610987441799633e-16,,stored_coordinate_aware,r,True,phi_sine,3.552713678800501e-15,
2.2610987441799633e-16,,spherical_scale_proxy,r,True,phi_sine,3.552713678800501e-15,
0.12702454859136672,0.9019827695286969,index_space_upstream_assumption,phi,False,mixed_spherical,0.7861364125646637,0.9019828569384776
0.00022611460143185863,0.0016047165710128507,stored_coordinate_aware,phi,False,mixed_spherical,0.001399390420178337,0.001605606919738935
0.00020522283951498476,0.0016047165710130575,spherical_scale_proxy,phi,False,mixed_spherical,0.001221866073144784,0.0016056069197389327
0.13413656729318338,0.9754809470742333,index_space_upstream_assumption,theta,False,mixed_spherical,0.850194793792275,0.9524842149672279
6.159894323693026e-05,0.0008017877009948057,stored_coordinate_aware,theta,False,mixed_spherical,0.0006988098555166244,0.00043740511834925995
3.953259671977105e-05,0.0008017877009948095,spherical_scale_proxy,theta,False,mixed_spherical,0.0006099762284729193,0.0004374051183492594
0.10240861376885776,1.62743941938264,index_space_upstream_assumption,r,False,mixed_spherical,1.1599268489201355,1.1330915950218163
0.0007545621056388365,0.011717002482494143,stored_coordinate_aware,r,False,mixed_spherical,0.008913946861957012,0.008348789699966911
0.0007545621056388365,0.011717002482494143,spherical_scale_proxy,r,False,mixed_spherical,0.008913946861957012,0.008348789699966911
0.0,,index_space_upstream_assumption,phi,True,gaussian_inner,0.0,
0.0,,stored_coordinate_aware,phi,True,gaussian_inner,0.0,
0.0,,spherical_scale_proxy,phi,True,gaussian_inner,0.0,
0.0,,index_space_upstream_assumption,theta,True,gaussian_inner,0.0,
2.837538365710838e-16,,stored_coordinate_aware,theta,True,gaussian_inner,7.105427357601002e-15,
1.122639090083682e-16,,spherical_scale_proxy,theta,True,gaussian_inner,2.9838885458262434e-15,
0.2808747363707407,0.8225958121330117,index_space_upstream_assumption,r,False,gaussian_inner,0.9923017597725816,0.8173161660910829
0.0,0.0,stored_coordinate_aware,r,False,gaussian_inner,0.0,0.0
0.0,0.0,spherical_scale_proxy,r,False,gaussian_inner,0.0,0.0
0.0,,index_space_upstream_assumption,phi,True,gaussian_middle,0.0,
0.0,,stored_coordinate_aware,phi,True,gaussian_middle,0.0,
0.0,,spherical_scale_proxy,phi,True,gaussian_middle,0.0,
0.0,,index_space_upstream_assumption,theta,True,gaussian_middle,0.0,
2.837538813330112e-16,,stored_coordinate_aware,theta,True,gaussian_middle,7.105427357601002e-15,
2.0360904567277653e-17,,spherical_scale_proxy,theta,True,gaussian_middle,5.41176722242063e-16,
0.018716903862041383,1.0049179195226485,index_space_upstream_assumption,r,False,gaussian_middle,0.06606189562610783,0.3002576569947675
0.0,0.0,stored_coordinate_aware,r,False,gaussian_middle,0.0,0.0
0.0,0.0,spherical_scale_proxy,r,False,gaussian_middle,0.0,0.0
0.0,,index_space_upstream_assumption,phi,True,gaussian_outer,0.0,
0.0,,stored_coordinate_aware,phi,True,gaussian_outer,0.0,
0.0,,spherical_scale_proxy,phi,True,gaussian_outer,0.0,
0.0,,index_space_upstream_assumption,theta,True,gaussian_outer,0.0,
2.837538365710838e-16,,stored_coordinate_aware,theta,True,gaussian_outer,7.105427357601002e-15,
3.4044482364593987e-18,,spherical_scale_proxy,theta,True,gaussian_outer,9.048754084439134e-17,
0.05617614294993686,75.09950006977759,index_space_upstream_assumption,r,False,gaussian_outer,0.172724398957473,5.389716680336183
0.0,0.0,stored_coordinate_aware,r,False,gaussian_outer,0.0,0.0
0.0,0.0,spherical_scale_proxy,r,False,gaussian_outer,0.0,0.0
